characters:62025
lines:1823
words:6196
63636719,upon
22157979,Serpent
61130425,tail
116062229,which
18486277,turned
61249512,that
25297725,died
17743325,father
56633974,rage
159444336,pursuing
22157979,Serpent
52139248,part
61130425,tail
22157979,Serpent
62051569,revenge
165909370,began
162798750,stinging
6715989,several
71435105,Farmer
42271589,cattle
44501601,caused
21054618,severe
43387268,loss
197331434,Well
71435105,Farmer
182974465,thought
20734749,best
45394043,make
68013423,with
22157979,Serpent
92534020,brought
29898183,food
9353431,honey
139797907,mouth
43145703,lair
58882326,said
42588193,forget
9106319,forgive
75123276,perhaps
67944514,were
189280875,right
108947387,punish
61130680,take
35226862,vengeance
42271589,cattle
93548779,surely
189280875,right
90162510,trying
62051569,revenge
61249512,that
20906478,both
49356840,satisfied
150894162,should
81336362,friends
77130324,again
58882326,said
22157979,Serpent
61130680,take
18793203,away
72612712,your
103882857,gifts
9178902,never
42588193,forget
150828896,death
72612712,your
43387268,loss
61130425,tail
179342405,Injuries
186317340,forgiven
199200843,forgotten
44187392,Aesop
35448489,Fables
190760214,Town
43932264,Mouse
29083263,Country
43932264,Mouse
45738326,must
41121496,know
61249512,that
190760214,Town
43932264,Mouse
50112270,once
63636719,upon
61268230,time
67944005,went
25309418,visit
73860344,cousin
68108874,country
1682921,rough
180185026,ready
61250559,this
73860344,cousin
180857327,loved
61372515,town
167624607,friend
45393126,made
28321702,heartily
190999605,welcome
137051676,Beans
156850196,bacon
123636136,cheese
195100221,bread
67944514,were
104325727,offer
71627589,offered
61250029,them
158632002,freely
190760214,Town
43932264,Mouse
121784224,rather
18486277,turned
43386601,long
47883436,nose
61250559,this
68108874,country
29658323,fare
58882326,said
28680485,cannot
200373911,understand
131962501,Cousin
68013423,with
59224764,such
52379107,poor
29898183,food
61250559,this
73844484,course
28680485,cannot
79418321,expect
169230195,anything
154635789,better
68108874,country
23153649,come
68013423,with
68012379,will
59003258,show
43284681,live
197382002,When
34155029,have
20732909,been
61372515,town
67942817,week
68012379,will
164158400,wonder
80478664,could
27768923,ever
34155029,have
105994764,stood
68108874,country
43282585,life
64788931,sooner
58882326,said
61249506,than
25401871,done
45530283,mice
61372515,town
65193160,arrived
190760214,Town
43932264,Mouse
55939430,residence
43147131,late
17914246,night
68012379,will
67875361,want
59123105,some
95861783,refreshment
75207772,after
43386601,long
158933533,journey
58882326,said
82282233,polite
190760214,Town
43932264,Mouse
61371464,took
167624607,friend
36625961,into
124029070,grand
27676705,dining
56875284,room
143263330,There
61250041,they
24454707,found
153938523,remains
29795087,fine
1631248,feast
59123376,soon
45530283,mice
67944514,were
92977667,eating
58959516,jellies
48832878,cakes
61249512,that
47778374,nice
139252069,Suddenly
61250041,they
187977721,heard
189437434,growling
84776541,barking
197381484,What
61249512,that
58882326,said
29083263,Country
43932264,Mouse
50113469,only
25400968,dogs
9475372,house
155257826,answered
135833323,other
179501168,Only
58882326,said
29083263,Country
43932264,Mouse
43283240,like
61249512,that
153250685,music
27761342,dinner
168381752,Just
61249512,that
108782337,moment
25402015,door
29845409,flew
50146863,open
22913395,came
34496284,huge
80810401,mastiffs
45530283,mice
30398332,scamper
25403059,down
161533973,Good
131962501,Cousin
58882326,said
29083263,Country
43932264,Mouse
197381484,What
117422088,going
59123376,soon
58882326,said
135833323,other
55533038,replied
11411335,Better
165808112,beans
156850196,bacon
195164866,peace
61249506,than
48832878,cakes
